category,question, correct_answer, incorrect_option1, incorrect_option2, incorrect_option3
Geografía,¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,Misisipi
Geografía,¿En qué país se encuentra la torre de Pisa?,Italia,Francia,España,Grecia
Geografía,¿Cuál es el océano más grande del mundo?,Océano Pacífico,Océano Atlántico,Océano Índico,Océano Ártico
Geografía,¿Cuál es la capital de Australia?,Canberra,Sídney,Melbourne,Brisbane
Geografía,¿Qué país tiene la mayor población del mundo?,India,China,Estados Unidos,Indonesia
Geografía,¿Cuál es el país más grande del mundo por superficie?,Rusia,Canadá,China,Estados Unidos
Geografía,¿En qué continente se encuentra el desierto del Sahara?,África,Asia,América del Sur,Oceanía
Geografía,¿Cuál es la montaña más alta del mundo?,Monte Everest,K2,Aconcagua,Kilimanjaro
Geografía,¿Qué país con forma de bota se encuentra en Europa?,Italia,Croacia,Grecia,Portugal
Geografía,¿Cuál es la capital de Japón?,Tokio,Kioto,Osaka,Hiroshima
Geografía,¿Cuál es el río más largo de Europa?,Volga,Danubio,Rin,Séneca
Geografía,¿Qué cascadas se encuentran entre la frontera de Argentina y Brasil?,Cataratas del Iguazú,Niágara,Salto Ángel,Victoria
Geografía,¿Cuál es el país con más islas en el mundo?,Suecia,Noruega,Finlandia,Canadá
Geografía,¿En qué país se encuentra Machu Picchu?,Perú,Bolivia,Chile,Ecuador
Geografía,¿Cuál es la capital de Canadá?,Ottawa,Toronto,Vancouver,Montreal
Geografía,¿Qué desierto cubre gran parte del norte de África?,Sahara,Atacama,Gobi,Kalahari
Geografía,¿Cuál es el estrecho que separa a España de Marruecos?,Estrecho de Gibraltar,Estrecho de Magallanes,Canal de la Mancha,Estrecho de Bering
Geografía,¿En qué país se encuentra Tombuctú?,Malí,Egipto,Marruecos,Sudáfrica
Geografía,¿Cuál es el lago más profundo del mundo?,Lago Baikal,Lago Superior,Lago Victoria,Mar Caspio
Geografía,¿Qué país tiene más fronteras terrestres con otros países?,China,Rusia,Brasil,Alemania
Geografía,¿Cuál es la capital de Italia?,Roma,Milán,Venecia,Florencia
Geografía,¿En qué país se encuentra la ciudad de Estambul?,Turquía,Grecia,Egipto,Siria
Geografía,¿Cuál es el país más pequeño del mundo?,Ciudad del Vaticano,Mónaco,San Marino,Liechtenstein
Geografía,¿Cuál es la capital de Egipto?,El Cairo,Alejandría,Giza,Luxor
Geografía,¿Qué continente es conocido como el 'continente negro'?,África,Asia,Oceanía,Antártida
Geografía,¿Cuál es el río más caudaloso del mundo?,Amazonas,Congo,Misisipi,Mekong
Geografía,¿En qué país se encuentra el monumento Taj Mahal?,India,Pakistán,Bangladesh,Nepal
Geografía,¿Cuál es la capital de Brasil?,Brasilia,Río de Janeiro,São Paulo,Salvador de Bahía
Geografía,¿Qué cordillera separa a Europa de Asia?,Los Montes Urales,Los Alpes,Los Pirineos,El Cáucaso
Geografía,¿Cuál es el desierto más árido del mundo?,Atacama,Sahara,Kalahari,Mojave
